politician,threshold,topic,youth_rank,coverage,rank
Giuseppe Conte,4,Difesa e sicurezza,7.0,0.1732,4.0
Giuseppe Conte,4,Salute e welfare,3.5,0.1342,5.0
Giuseppe Conte,4,Istruzione e formazione,5.0,0.0476,6.0
Giuseppe Conte,4,Immigrazione,8.5,0.026,7.5
Giuseppe Conte,4,Abitazione,10.0,0.026,7.5
Giuseppe Conte,4,Ambiente e clima,1.0,0.0043,9.5
Giuseppe Conte,4,Uguaglianza di genere,6.0,0.0043,9.5
carlocalenda,2,Democrazia e legalità,8.5,0.7959,1.0
carlocalenda,2,Difesa e sicurezza,7.0,0.4762,2.0
carlocalenda,2,Lavoro e economia,2.0,0.3656,3.0
carlocalenda,2,Costo della vita,3.5,0.1395,4.0
carlocalenda,2,Salute e welfare,3.5,0.1224,5.0
carlocalenda,2,Istruzione e formazione,5.0,0.1037,6.0
carlocalenda,2,Ambiente e clima,1.0,0.0697,7.0
carlocalenda,2,Immigrazione,8.5,0.0527,8.0
carlocalenda,2,Abitazione,10.0,0.034,9.0
carlocalenda,2,Uguaglianza di genere,6.0,0.0204,10.0
carlocalenda,3,Democrazia e legalità,8.5,0.6684,1.0
carlocalenda,3,Difesa e sicurezza,7.0,0.3724,2.0
carlocalenda,3,Lavoro e economia,2.0,0.2551,3.0
carlocalenda,3,Costo della vita,3.5,0.0952,4.0
carlocalenda,3,Salute e welfare,3.5,0.0935,5.0
carlocalenda,3,Istruzione e formazione,5.0,0.0799,6.0
carlocalenda,3,Ambiente e clima,1.0,0.0408,7.0
carlocalenda,3,Immigrazione,8.5,0.0221,8.0
carlocalenda,3,Abitazione,10.0,0.0153,9.0
carlocalenda,3,Uguaglianza di genere,6.0,0.0136,10.0
carlocalenda,4,Democrazia e legalità,8.5,0.3588,1.0
carlocalenda,4,Difesa e sicurezza,7.0,0.2245,2.0
carlocalenda,4,Lavoro e economia,2.0,0.1276,3.0
carlocalenda,4,Costo della vita,3.5,0.0442,4.0
carlocalenda,4,Salute e welfare,3.5,0.034,5.5
carlocalenda,4,Istruzione e formazione,5.0,0.034,5.5
carlocalenda,4,Immigrazione,8.5,0.0136,7.0
carlocalenda,4,Ambiente e clima,1.0,0.0119,8.0
carlocalenda,4,Abitazione,10.0,0.0068,9.0
carlocalenda,4,Uguaglianza di genere,6.0,0.0051,10.0
matteosalviniofficial,2,Democrazia e legalità,8.5,0.541,1.0
matteosalviniofficial,2,Difesa e sicurezza,7.0,0.4213,2.0
matteosalviniofficial,2,Lavoro e economia,2.0,0.2148,3.0
matteosalviniofficial,2,Immigrazione,8.5,0.1885,4.0
matteosalviniofficial,2,Salute e welfare,3.5,0.0852,5.0
matteosalviniofficial,2,Istruzione e formazione,5.0,0.077,6.0
matteosalviniofficial,2,Costo della vita,3.5,0.0574,7.0
matteosalviniofficial,2,Abitazione,10.0,0.0557,8.0
matteosalviniofficial,2,Ambiente e clima,1.0,0.0459,9.0
matteosalviniofficial,2,Uguaglianza di genere,6.0,0.0443,10.0
matteosalviniofficial,3,Democrazia e legalità,8.5,0.3754,1.0
matteosalviniofficial,3,Difesa e sicurezza,7.0,0.3672,2.0
matteosalviniofficial,3,Immigrazione,8.5,0.1574,3.0
matteosalviniofficial,3,Lavoro e economia,2.0,0.1557,4.0
matteosalviniofficial,3,Istruzione e formazione,5.0,0.0574,5.0
matteosalviniofficial,3,Salute e welfare,3.5,0.0459,6.0
matteosalviniofficial,3,Ambiente e clima,1.0,0.0344,8.0
matteosalviniofficial,3,Costo della vita,3.5,0.0344,8.0
matteosalviniofficial,3,Abitazione,10.0,0.0344,8.0
matteosalviniofficial,3,Uguaglianza di genere,6.0,0.0262,10.0
matteosalviniofficial,4,Difesa e sicurezza,7.0,0.2082,1.0
matteosalviniofficial,4,Democrazia e legalità,8.5,0.1426,2.0
matteosalviniofficial,4,Immigrazione,8.5,0.1115,3.0
matteosalviniofficial,4,Lavoro e economia,2.0,0.059,4.0
matteosalviniofficial,4,Istruzione e formazione,5.0,0.0213,5.0
matteosalviniofficial,4,Costo della vita,3.5,0.0148,6.5
matteosalviniofficial,4,Salute e welfare,3.5,0.0148,6.5
matteosalviniofficial,4,Ambiente e clima,1.0,0.0115,8.0
matteosalviniofficial,4,Abitazione,10.0,0.0098,9.0
matteosalviniofficial,4,Uguaglianza di genere,6.0,0.0082,10.0
nicolafratoianni,2,Democrazia e legalità,8.5,0.726,1.0
nicolafratoianni,2,Lavoro e economia,2.0,0.5799,2.0
nicolafratoianni,2,Costo della vita,3.5,0.4292,3.0
nicolafratoianni,2,Salute e welfare,3.5,0.3059,4.5
nicolafratoianni,2,Difesa e sicurezza,7.0,0.3059,4.5
nicolafratoianni,2,Istruzione e formazione,5.0,0.1918,6.0
nicolafratoianni,2,Ambiente e clima,1.0,0.1096,7.5
nicolafratoianni,2,Abitazione,10.0,0.1096,7.5
nicolafratoianni,2,Uguaglianza di genere,6.0,0.0685,9.0
nicolafratoianni,2,Immigrazione,8.5,0.0274,10.0
nicolafratoianni,3,Lavoro e economia,2.0,0.4886,1.0
nicolafratoianni,3,Democrazia e legalità,8.5,0.4749,2.0
nicolafratoianni,3,Costo della vita,3.5,0.3516,3.0
nicolafratoianni,3,Salute e welfare,3.5,0.274,4.0
nicolafratoianni,3,Difesa e sicurezza,7.0,0.2511,5.0
nicolafratoianni,3,Istruzione e formazione,5.0,0.1826,6.0
nicolafratoianni,3,Abitazione,10.0,0.0959,7.0
nicolafratoianni,3,Ambiente e clima,1.0,0.0822,8.0
nicolafratoianni,3,Uguaglianza di genere,6.0,0.0411,9.0
nicolafratoianni,3,Immigrazione,8.5,0.0183,10.0
