politician,n_posts,spearman_rho,rho_ci_low_95,rho_ci_high_95,rho_ci_width,rho_share_cross_0,kendall_tau,tau_ci_low_95,tau_ci_high_95,tau_ci_width,tau_share_cross_0,n_boot
Elly Schlein,498,0.30887,0.054879,0.318044,0.263165,0.0,0.27588,0.113666,0.295531,0.181865,0.0,2000
nicolafratoianni,219,0.280493,0.143644,0.390251,0.246607,0.0,0.250065,0.13794,0.295531,0.157591,0.0,2000
silviasalis,336,0.170735,-0.012195,0.506107,0.518302,0.031,0.159132,0.022733,0.395349,0.372616,0.0085,2000
carlocalenda,1164,0.152442,0.115856,0.201223,0.085367,0.0,0.113666,0.022733,0.159132,0.136399,0.0085,2000
Giuseppe Conte,472,0.085367,0.024391,0.274395,0.250005,0.0185,0.068199,0.022733,0.159132,0.136399,0.0025,2000
antoniotajani,337,0.027523,-0.0734,0.201223,0.274624,0.201,0.04598,-0.068199,0.18392,0.25212,0.126,2000
Giorgia Meloni,330,-0.024391,-0.091465,0.276184,0.367649,0.7385,0.022733,-0.068199,0.2299,0.2981,0.13,2000
matteorenzi,333,-0.024391,-0.085367,0.054879,0.140247,0.327,0.022733,-0.04598,0.09196,0.13794,0.2335,2000
matteosalviniofficial,610,-0.302475,-0.492357,-0.06173,0.430627,0.001,-0.23531,-0.348837,-0.04598,0.302857,0.006,2000
